ErrorCode,Mapping,Error Description
V2512,CWE-676,MISRA. The macro with the 'setjmp' name and the function with the 'longjmp' name should not be used.
V2513,CWE-676,MISRA. Unbounded functions performing string operations should not be used.
V2599,CWE-676,MISRA. The standard signal handling functions should not be used.
V2600,CWE-676,MISRA. The standard input/output functions should not be used.
V2635,CWE-676,MISRA. The function with the 'system' name should not be used.
V2636,CWE-676,MISRA. The functions with the 'rand' and 'srand' name of <stdlib.h> should not be used.
V2658,CWE-561,MISRA. Dead code should not be used in a project.
V5001,CWE-841,OWASP. It is highly probable that the semicolon ';' is missing after 'return' keyword.
V5002,"CWE-1069,CWE-390,CWE-544",OWASP. An empty exception handler. Silent suppression of exceptions can hide the presence of bugs in source code during testing.
V5003,CWE-390,OWASP. The object was created but it is not being used. The 'throw' keyword could be missing.
V5004,CWE-190,OWASP. Consider inspecting the expression. Bit shifting of the 32-bit value with a subsequent expansion to the 64-bit type.
V5005,CWE-190,"OWASP. A value is being subtracted from the unsigned variable. This can result in an overflow. In such a case, the comparison operation can potentially behave unexpectedly."
V5006,CWE-190,"OWASP. More than N bits are required to store the value, but the expression evaluates to the T type which can only hold K bits."
V5007,CWE-190,OWASP. Consider inspecting the loop expression. It is possible that the 'i' variable should be incremented instead of the 'n' variable.
V5008,CWE-544,OWASP. Classes should always be derived from std::exception (and alike) as 'public'.
V5009,"CWE-134,CWE-20,CWE-78",OWASP. Unchecked tainted data is used in expression.
V5010,CWE-190,OWASP. The variable is incremented in the loop. Undefined behavior will occur in case of signed integer overflow.
V5011,CWE-190,"OWASP. Possible overflow. Consider casting operands, not the result."
V5012,CWE-609,OWASP. Potentially unsafe double-checked locking.
V5013,"CWE-259,CWE-798",OWASP. Storing credentials inside source code can lead to security issues.
V5014,CWE-327,OWASP. Cryptographic function is deprecated. Its use can lead to security issues. Consider switching to an equivalent newer function.
